"","X..name","planet_status","orbital_period","orbital_period_error_min","orbital_period_error_max","discovered","updated","publication_status","detection_type","mass_detection_type","radius_detection_type","alternate_names","molecules","star_name","ra","dec","star_sp_type","star_teff","star_detected_disc","star_magnetic_field","star_alternate_names"
"811","HD 66141 b","Confirmed",480.5,0.5,0.5,2012,"2012-11-12","Published in a refereed paper","Radial Velocity","","","","","HD 66141",120.5667,2.3344,"K2III",4305,"","",""
"812","HD 66428 b","Confirmed",1973,31,31,2006,"2006-07-15","Published in a refereed paper","Radial Velocity","","","","","HD 66428",120.8666667,-1.1625,"G5",5752,"","",""
"813","HD 67087 b","Confirmed",352.2,1.7,1.7,2015,"2015-07-27","Published in a refereed paper","Radial Velocity","Radial Velocity","","","","HD 67087",121.91666668,31.551388901,"F8 V",6330,"","",""
"814","HD 67087 c","Confirmed",2374,156,193,2015,"2015-07-27","Published in a refereed paper","Radial Velocity","Radial Velocity","","","","HD 67087",121.91666668,31.551388901,"F8 V",6330,"","",""
"815","HD 6718 b","Confirmed",2496,176,176,2009,"2010-09-08","Submitted to a professional journal","Radial Velocity","","","","","HD 6718",16.9541667,-8.2336111,"G5V",5745,"","",""
"816","HD 68402 b","Confirmed",1103,33,33,2016,"2016-04-02","Published in a refereed paper","Radial Velocity","Radial Velocity","","","","HD 68402",121.350000008,-74.410555572,"G5IV/V",5950,"","",""
"817","HD 68988 b","Confirmed",6.2771,0.00021,0.00021,2001,"2016-01-26","Published in a refereed paper","Radial Velocity","","","","","HD 68988",124.5916667,61.4605556,"G0",5767,"","",""
"818","HD 69830 b","Confirmed",8.667,0.003,0.003,2006,"2017-06-14","Published in a refereed paper","Radial Velocity","Radial Velocity","","","","HD 69830",124.5958333,-12.6319444,"K0V",5385,"IR Excess","",""
"819","HD 69830 c","Confirmed",31.56,0.04,0.04,2006,"2017-06-14","Published in a refereed paper","Radial Velocity","Radial Velocity","","","","HD 69830",124.5958333,-12.6319444,"K0V",5385,"IR Excess","",""
"820","HD 69830 d","Confirmed",197,3,3,2006,"2017-06-14","Published in a refereed paper","Radial Velocity","Radial Velocity","","","","HD 69830",124.5958333,-12.6319444,"K0V",5385,"IR Excess","",""
"821","HD 70642 b","Confirmed",2231,400,400,2003,"2011-01-01","Published in a refereed paper","Radial Velocity","","","","","HD 70642",125.3666667,-39.7052778,"G5 IV-V",5670,"","",""
"822","HD 7199 b","Confirmed",615,7,7,2011,"2011-08-02","Published in a refereed paper","Radial Velocity","","","","","HD 7199",17.6958333,-66.1880556,"KOIV/V",5386,"","",""
"823","HD 72659 b","Confirmed",3658,32,32,2002,"2010-12-20","Published in a refereed paper","Radial Velocity","","","","","HD 72659",128.5125,-1.5680556,"G2 V",5926,"","",""
"824","HD 72892 b","Confirmed",39.475,0.004,0.004,2016,"2016-04-02","Published in a refereed paper","Radial Velocity","Radial Velocity","","","","HD 72892",128.720833351,-14.456666681,"G5V",5688,"","",""
"825","HD 73256 b","Confirmed",2.54858,0.00016,0.00016,2003,"2010-12-23","Published in a refereed paper","Radial Velocity","","","","","HD 73256",129.0958333,-30.0375,"G8/K0",5570,"","",""
"826","HD 73267 b","Confirmed",1260,7,7,2008,"2014-08-27","Published in a refereed paper","Radial Velocity","","","","","HD 73267",129.075,-34.46,"G5V",5317,"","",""
"827","HD 73526 b","Confirmed",188.9,0.1,0.1,2002,"2016-01-20","Published in a refereed paper","Radial Velocity","","","","","HD 73526",129.3166667,-41.3188889,"G6 V",5590,"IR Excess","",""
"828","HD 73526 c","Confirmed",379.1,0.5,0.5,2006,"2016-01-20","Published in a refereed paper","Radial Velocity","","","","","HD 73526",129.3166667,-41.3188889,"G6 V",5590,"IR Excess","",""
"829","HD 73534 b","Confirmed",1800,110,110,2009,"2009-08-13","Published in a refereed paper","Radial Velocity","","","","","HD 73534",129.8166667,12.9602778,"G5IV",4952,"","",""
"830","HD 74156 b","Confirmed",51.6385,0.0015,0.0015,2003,"2016-01-15","Published in a refereed paper","Radial Velocity","","","","","HD 74156",130.6041667,4.5780556,"G1V",5960,"","",""
"831","HD 74156 c","Confirmed",2448.9,5.5,5.5,2003,"2016-01-15","Published in a refereed paper","Radial Velocity","","","","","HD 74156",130.6041667,4.5780556,"G1V",5960,"","",""
"832","HD 7449 b","Confirmed",1275,11,15,2011,"2014-05-23","Published in a refereed paper","Radial Velocity","","","","","HD 7449",18.6208333,-5.0475,"F8V",6024,"","",""
"833","HD 7449 c","Confirmed",4046,366,186,2011,"2014-05-23","Published in a refereed paper","Radial Velocity","","","","","HD 7449",18.6208333,-5.0475,"F8V",6024,"","",""
"834","HD 75289 b","Confirmed",3.50928,7.2946e-05,7.2946e-05,1999,"2015-02-24","Published in a refereed paper","Radial Velocity","Radial Velocity","Theoretical","","","HD 75289",131.9166667,-41.7366667,"G0 V",6120,"","",""
"835","HD 75784 b","Confirmed",341.7,6.1,6.1,2014,"2016-08-07","Published in a refereed paper","Primary Transit","Radial Velocity","","","","HD 75784",133.099755675,13.2334359492,"K3 IV",4917,"","",""
"836","HD 75784 c","Confirmed",5040,3414,3414,2015,"2016-08-22","Published in a refereed paper","Primary Transit","Radial Velocity","","","","HD 75784",133.099755675,13.2334359492,"K3 IV",4917,"","",""
"837","HD 75898 b","Confirmed",418.2,5.7,5.7,2007,"2009-10-06","Announced on a professional conference","Radial Velocity","","","","","HD 75898",133.4625,33.0569444,"G0",6021,"","",""
"838","HD 76700 b","Confirmed",3.97101,0.000203,0.000203,2002,"2015-02-25","Published in a refereed paper","Radial Velocity","Radial Velocity","Theoretical","","","HD 76700",133.4791667,-66.8008333,"G6 V",5726,"","",""
"839","HD 76920 b","Confirmed",415.4,0.2,0.2,2017,"2017-11-21","Published in a refereed paper","Radial Velocity","Radial Velocity","","","","HD 76920",133.820833339,-67.265555573,"K1III",4698,"","",""
"840","HD 77065 b","Confirmed",119.1135,0.0027,0.0027,2016,"2016-02-10","Published in a refereed paper","Radial Velocity","Radial Velocity","","","","HD 77065",135.195833349,21.453611123,"G5",4990,"","",""
"841","HD 77338 b","Confirmed",5.7561,0.0015,0.0015,2012,"2013-01-17","Published in a refereed paper","Radial Velocity","","","","","HD 77338",135.3,-25.5269,"K0IV",5370,"","",""
"842","HD 7924 b","Confirmed",5.39792,0.00025,0.00025,2009,"2015-04-29","Published in a refereed paper","Radial Velocity","Radial Velocity","Theoretical","","","HD 7924",20.4958333,76.7102778,"K0V",5177,"","",""
"843","HD 7924 c","Confirmed",15.299,0.0033,0.0033,2015,"2015-04-29","Published in a refereed paper","Radial Velocity","Radial Velocity","","","","HD 7924",20.4958333,76.7102778,"K0V",5177,"","",""
"844","HD 7924 d","Confirmed",24.451,0.017,0.017,2015,"2015-04-29","Published in a refereed paper","Radial Velocity","","","","","HD 7924",20.4958333,76.7102778,"K0V",5177,"","",""
"845","HD 79498 b","Confirmed",1966,41,41,2012,"2012-02-04","Published in a refereed paper","Radial Velocity","","","","","HD 79498",138.7875,23.3755556,"G5",5740,"","",""
"846","HD 80606 b","Confirmed",111.43637,9e-04,9e-04,2001,"2014-08-16","Published in a refereed paper","Primary Transit","","","","K","HD 80606",140.6541667,50.6036111,"G5",5645,"","",""
"847","HD 81040 b","Confirmed",1001.7,7,7,2005,"2010-12-23","Published in a refereed paper","Radial Velocity","","","","","HD 81040",140.9458333,20.3644444,"G2/G3",5700,"","",""
"848","HD 81688 b","Confirmed",184.02,0.18,0.18,2008,"2016-02-01","Published in a refereed paper","Radial Velocity","","","","","HD 81688",142.1666667,45.6013889,"K0III-IV",4753,"","",""
"849","HD 82886 b","Confirmed",705,34,34,2011,"2011-09-02","Published in a refereed paper","Radial Velocity","","","","","HD 82886",143.9375,34.7808333,"G0",5112,"","",""
"852","HD 82943 d","Confirmed",1078,13,13,2013,"2013-10-30","Published in a refereed paper","Radial Velocity","","","","","HD 82943",143.7083333,-12.1294444,"G0",5874,"IR Excess","",""
"853","HD 83443 b","Confirmed",2.98572,5.30373e-05,5.30373e-05,2002,"2015-02-24","Published in a refereed paper","Radial Velocity","Radial Velocity","Theoretical","","","HD 83443",144.2958333,-43.2719444,"K0 V",5460,"","",""
"854","HD 8535 b","Confirmed",1313,28,28,2009,"2010-09-08","Submitted to a professional journal","Radial Velocity","","","","","HD 8535",20.9041667,-41.2697222,"G0V",6136,"","",""
"855","HD 85390 b","Confirmed",788,25,25,2009,"2013-07-04","Published in a refereed paper","Radial Velocity","","","","","HD 85390",147.5083333,-49.7902778,"K1V",5186,"","",""
"856","HD 85390 c","Confirmed",3700,840,840,2013,"2013-07-04","Published in a refereed paper","Radial Velocity","","","","","HD 85390",147.5083333,-49.7902778,"K1V",5186,"","",""
"857","HD 85512 b","Confirmed",58.43,0.13,0.13,2011,"2011-09-02","Published in a refereed paper","Radial Velocity","","","","","HD 85512",147.7791667,-43.5027778,"K5V",4715,"","",""
"858","HD 8574 b","Confirmed",227.55,0.77,0.77,2003,"2009-10-08","Published in a refereed paper","Radial Velocity","","","","","HD 8574",21.3,28.5666667,"F8",6080,"","",""
"859","HD 86081 b","Confirmed",1.99809,0.006778,0.006778,2006,"2015-02-16","Published in a refereed paper","Radial Velocity","Radial Velocity","Theoretical","","","HD 86081",149.025,-3.8083333,"F8V",6028,"","",""
