"","X..name","planet_status","orbital_period","orbital_period_error_min","orbital_period_error_max","discovered","updated","publication_status","detection_type","mass_detection_type","radius_detection_type","alternate_names","molecules","star_name","ra","dec","star_sp_type","star_teff","star_detected_disc","star_magnetic_field","star_alternate_names"
"1731","Kepler-150 f","Confirmed",637.2093,0.0154,0.0169,2017,"2017-03-29","Published in a refereed paper","Primary Transit","Theoretical","Primary Transit","","","Kepler-150",288.23406975,40.520905,"",5560,"","",""
"1732","Kepler-1500 b","Confirmed",15.0330105,0.0001612,0.0001612,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1500",288.883334,39.744572,"",5845,"","",""
"1733","Kepler-1501 b","Confirmed",14.5564533,0.0001121,0.0001121,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1501",289.918519,42.001431,"",6229,"","",""
"1734","Kepler-1502 b","Confirmed",41.7083629,0.0003485,0.0003485,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1502",296.107919,39.319913,"",6666,"","",""
"1735","Kepler-1503 b","Confirmed",96.16987,0.00118,0.00118,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1503",293.727175,42.806759,"",5069,"","",""
"1736","Kepler-1504 b","Confirmed",82.304003,0.001593,0.001593,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1504",289.711993,50.128212,"",5393,"","",""
"1737","Kepler-1505 b","Confirmed",30.8609366,0.0002252,0.0002252,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1505",292.002052,41.786961,"",5686,"","",""
"1738","Kepler-1506 b","Confirmed",14.0329154,0.0002811,0.0002811,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1506",290.149884,41.464595,"",5676,"","",""
"1739","Kepler-1507 b","Confirmed",16.0506213,0.0001447,0.0001447,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1507",288.561525,46.536053,"",5410,"","",""
"1740","Kepler-1508 b","Confirmed",20.7056504,0.0005499,0.0005499,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1508",298.118885,40.375047,"",6158,"","",""
"1741","Kepler-1509 b","Confirmed",25.4338197,0.0003114,0.0003114,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1509",283.797813,46.931004,"",5780,"","",""
"1742","Kepler-151 b","Confirmed",15.228958,3e-05,3e-05,2014,"2014-03-06","Announced on a website","Primary Transit","","","","","Kepler-151",292.1627808,41.023235,"",5460,"","",""
"1743","Kepler-151 c","Confirmed",24.674612,0.000106,0.000106,2014,"2014-03-06","Announced on a website","Primary Transit","","","","","Kepler-151",292.1627808,41.023235,"",5460,"","",""
"1744","Kepler-1510 b","Confirmed",84.703921,0.001896,0.001896,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1510",298.959138,48.257824,"",6200,"","",""
"1745","Kepler-1511 b","Confirmed",23.2382792,0.000222,0.000222,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1511",288.421218,43.179798,"",6064,"","",""
"1746","Kepler-1512 b","Confirmed",20.35972599,5.874e-05,5.874e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1512",289.274503,44.470253,"",4372,"","",""
"1747","Kepler-1513 b","Confirmed",160.88465087,7.718e-05,7.718e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1513",289.791634,39.285277,"",5617,"","",""
"1748","Kepler-1514 b","Confirmed",217.8317626,0.0001058,0.0001058,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1514",292.627466,37.860133,"",6251,"","",""
"1749","Kepler-1515 b","Confirmed",214.3114164,0.0001275,0.0001275,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1515",290.97393,48.178162,"",6511,"","",""
"1750","Kepler-1516 b","Confirmed",7.25931979,3.612e-05,3.612e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1516",291.494603,44.523502,"",5904,"","",""
"1751","Kepler-1517 b","Confirmed",5.54608367,7.09e-06,7.09e-06,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1517",287.80722,43.188778,"",7010,"","",""
"1752","Kepler-1518 b","Confirmed",5.11177904,5.083e-05,5.083e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1518",300.332385,44.986137,"",6846,"","",""
"1753","Kepler-1519 b","Confirmed",240.7989397,0.0006117,0.0006117,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1519",296.667903,49.461861,"",5644,"","",""
"1754","Kepler-152 b","Confirmed",18.207973,2.3e-05,2.3e-05,2014,"2014-03-06","Announced on a website","Primary Transit","","","","","Kepler-152",286.86547845,41.989086,"",5088,"","",""
"1755","Kepler-152 c","Confirmed",88.255055,0.000309,0.000309,2014,"2014-03-06","Announced on a website","Primary Transit","","","","","Kepler-152",286.86547845,41.989086,"",5088,"","",""
"1756","Kepler-1521 b","Confirmed",47.14840805,7.919e-05,7.919e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1521",292.690301,37.835001,"",5042,"","",""
"1757","Kepler-1522 b","Confirmed",1.84788917,2.72e-06,2.72e-06,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1522",289.843226,52.07016,"",5706,"","",""
"1758","Kepler-1523 b","Confirmed",0.93875077,1.16e-06,1.16e-06,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1523",296.054062,45.827049,"",5708,"","",""
"1759","Kepler-1524 b","Confirmed",70.9674603,0.0001723,0.0001723,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1524",293.885398,39.519818,"",6179,"","",""
"1760","Kepler-1525 b","Confirmed",2.41660118,5.28e-06,5.28e-06,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1525",290.559517,49.943016,"",5748,"","",""
"1761","Kepler-1526 b","Confirmed",3.908632,7.4e-06,7.4e-06,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1526",285.119706,38.866428,"",4601,"","",""
"1762","Kepler-1527 b","Confirmed",160.129918,0.001742,0.001742,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1527",297.414414,46.060818,"",6224,"","",""
"1763","Kepler-1528 b","Confirmed",1.79111021,7.7e-06,7.7e-06,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1528",287.402943,46.573986,"",5857,"","",""
"1764","Kepler-1529 b","Confirmed",5.33905686,1.277e-05,1.277e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1529",289.870716,41.040728,"",5048,"","",""
"1765","Kepler-153 b","Confirmed",18.870227,3.9e-05,3.9e-05,2014,"2014-03-06","Announced on a website","Primary Transit","","","","","Kepler-153",282.4605102,48.257118,"",5404,"","",""
"1766","Kepler-153 c","Confirmed",46.90232,0.000215,0.000215,2014,"2014-03-06","Announced on a website","Primary Transit","","","","","Kepler-153",282.4605102,48.257118,"",5404,"","",""
"1767","Kepler-1530 b","Confirmed",2.5904434,0.0001715,0.0001715,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1530",288.162502,48.165154,"",5477,"","",""
"1768","Kepler-1530 c","Confirmed",5.3227406,0.0006331,0.0006331,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1530",288.162502,48.165154,"",5477,"","",""
"1769","Kepler-1531 b","Confirmed",1.13854338,2.59e-06,2.59e-06,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1531",285.146577,39.370798,"",6260,"","",""
"1770","Kepler-1532 b","Confirmed",1.09366356,2.16e-06,2.16e-06,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1532",296.902813,41.198191,"",5559,"","",""
"1771","Kepler-1533 b","Confirmed",308.5471,0.002415,0.002415,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1533",295.975556,44.713445,"",6431,"","",""
"1772","Kepler-1534 b","Confirmed",5.71668872,2.925e-05,2.925e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1534",292.395391,43.869072,"",5442,"","",""
"1773","Kepler-1535 b","Confirmed",138.9442,0.001214,0.001214,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1535",286.613698,38.891969,"",6021,"","",""
"1774","Kepler-1536 b","Confirmed",364.758031,0.00582,0.00582,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1536",291.585187,45.71579,"",4434,"","",""
"1775","Kepler-1537 b","Confirmed",1.4444538,2.33e-06,2.33e-06,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1537",294.385398,43.82547,"",5079,"","",""
"1776","Kepler-1538 b","Confirmed",175.138819,0.002807,0.002807,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1538",283.345714,45.274456,"",5837,"","",""
"1777","Kepler-1539 b","Confirmed",133.3036741,0.0008843,0.0008843,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1539",284.219433,44.268543,"",5176,"","",""
"1778","Kepler-154 b","Confirmed",33.040532,0.000215,0.000215,2014,"2014-03-06","Announced on a website","Primary Transit","","","","","Kepler-154",289.78051755,49.89653,"",5690,"","",""
"1779","Kepler-154 c","Confirmed",62.303276,0.000406,0.000406,2014,"2014-03-06","Announced on a website","Primary Transit","","","","","Kepler-154",289.78051755,49.89653,"",5690,"","",""
"1780","Kepler-154 d","Confirmed",20.54981883,2.572e-05,2.572e-05,2016,"2016-05-18","Announced on a website","Primary Transit","","","","","Kepler-154",289.78051755,49.89653,"",5690,"","",""
"1781","Kepler-154 e","Confirmed",3.93276465,1.225e-05,1.225e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-154",289.78051755,49.89653,"",5690,"","",""
"1782","Kepler-154 f","Confirmed",9.91935684,7.788e-05,7.788e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-154",289.78051755,49.89653,"",5690,"","",""
"1783","Kepler-1540 b","Confirmed",125.4131177,0.0004189,0.0004189,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1540",283.344497,41.201741,"",4540,"","",""
"1784","Kepler-1541 b","Confirmed",8.40691199,2.698e-05,2.698e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1541",283.787004,48.029564,"",5282,"","",""
"1785","Kepler-1542 b","Confirmed",3.95116882,1.633e-05,1.633e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1542",285.728495,42.65453,"",5564,"","",""
"1786","Kepler-1542 c","Confirmed",2.89223021,1.472e-05,1.472e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1542",285.728495,42.65453,"",5564,"","",""
"1787","Kepler-1542 d","Confirmed",5.99273738,2.26e-05,2.26e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1542",285.728495,42.65453,"",5564,"","",""
"1788","Kepler-1542 e","Confirmed",5.10115756,2.409e-05,2.409e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1542",285.728495,42.65453,"",5564,"","",""
"1789","Kepler-1543 b","Confirmed",6.96710269,3.285e-05,3.285e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1543",297.124312,47.037025,"",6561,"","",""
"1790","Kepler-1544 b","Confirmed",168.811174,0.001271,0.001271,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1544",297.28499,49.212456,"",4886,"","",""
"1791","Kepler-1545 b","Confirmed",163.692349,0.001383,0.001383,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1545",298.898763,47.463093,"",5201,"","",""
"1792","Kepler-1546 b","Confirmed",19.5974971,0.0001407,0.0001407,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1546",297.583942,41.541227,"",5623,"","",""
"1793","Kepler-1547 b","Confirmed",0.69297968,1.49e-06,1.49e-06,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1547",283.764074,42.222172,"",6078,"","",""
"1794","Kepler-1548 b","Confirmed",124.828679,0.001524,0.001524,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1548",287.471233,46.080666,"",5706,"","",""
"1795","Kepler-1549 b","Confirmed",214.886545,0.003111,0.003111,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1549",286.052426,39.096053,"",5324,"","",""
"1796","Kepler-155 b","Confirmed",5.931194,8e-06,8e-06,2014,"2014-03-06","Announced on a website","Primary Transit","","","","","Kepler-155",288.49581915,51.081947,"",4508,"","",""
"1797","Kepler-155 c","Confirmed",52.661793,0.000236,0.000236,2014,"2014-03-06","Announced on a website","Primary Transit","","","","","Kepler-155",288.49581915,51.081947,"",4508,"","",""
"1798","Kepler-1550 b","Confirmed",225.582809,0.003846,0.003846,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1550",287.76456,38.294704,"",5991,"","",""
"1799","Kepler-1551 b","Confirmed",24.4973698,0.0002094,0.0002094,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1551",295.785514,39.907921,"",6136,"","",""
"1800","Kepler-1552 b","Confirmed",184.771853,0.001546,0.001546,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1552",291.676831,38.874915,"",5202,"","",""
"1801","Kepler-1553 b","Confirmed",4.24261881,2.781e-05,2.781e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1553",291.919159,39.022273,"",5288,"","",""
"1802","Kepler-1554 b","Confirmed",198.088774,0.002456,0.002456,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1554",286.576164,41.741473,"",5297,"","",""
"1803","Kepler-1555 b","Confirmed",8.10501635,8.122e-05,8.122e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1555",287.635473,45.716061,"",5866,"","",""
"1804","Kepler-1556 b","Confirmed",8.82713457,4.025e-05,4.025e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1556",288.397002,40.2132,"",5608,"","",""
"1805","Kepler-1557 b","Confirmed",3.74032496,2.165e-05,2.165e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1557",293.881413,46.838879,"",6099,"","",""
"1806","Kepler-1558 b","Confirmed",3.50470358,1.612e-05,1.612e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1558",286.819367,46.911694,"",5101,"","",""
"1807","Kepler-1559 b","Confirmed",0.97191543,3.79e-06,3.79e-06,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1559",292.28658,42.072456,"",5316,"","",""
"1808","Kepler-156 b","Confirmed",4.973456,8e-06,8e-06,2014,"2014-03-06","Announced on a website","Primary Transit","","","","","Kepler-156",290.29650885,37.749489,"",5094,"","",""
"1809","Kepler-156 c","Confirmed",15.906801,4.5e-05,4.5e-05,2014,"2014-03-06","Announced on a website","Primary Transit","","","","","Kepler-156",290.29650885,37.749489,"",5094,"","",""
"1810","Kepler-1560 b","Confirmed",3.03195744,1.306e-05,1.306e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1560",292.784608,43.215984,"",5815,"","",""
"1811","Kepler-1561 b","Confirmed",1.00520701,5.1e-06,5.1e-06,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1561",296.923604,43.566467,"",5957,"","",""
"1812","Kepler-1562 b","Confirmed",64.2737752,0.0007141,0.0007141,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1562",294.455709,46.743614,"",5760,"","",""
"1813","Kepler-1563 b","Confirmed",3.43276598,2.976e-05,2.976e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1563",288.573588,51.472755,"",5765,"","",""
"1814","Kepler-1564 b","Confirmed",18.0540381,0.0001919,0.0001919,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1564",290.586124,46.642689,"",5528,"","",""
"1815","Kepler-1565 b","Confirmed",1.53818844,6.86e-06,6.86e-06,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1565",297.952967,40.806808,"",4940,"","",""
"1816","Kepler-1566 b","Confirmed",0.53991524,1.35e-06,1.35e-06,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1566",283.587614,40.574927,"",5254,"","",""
"1817","Kepler-1567 b","Confirmed",153.979578,0.001785,0.001785,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1567",286.6952,40.291819,"",5655,"","",""
"1818","Kepler-1568 b","Confirmed",20.925392,0.0002521,0.0002521,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1568",289.182664,47.873383,"",5956,"","",""
"1819","Kepler-1569 b","Confirmed",5.79180156,3.622e-05,3.622e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1569",292.204706,37.22122,"",6319,"","",""
"1820","Kepler-157 b","Confirmed",1.732342,6e-06,6e-06,2014,"2014-03-06","Announced on a website","Primary Transit","","","","","Kepler-157",291.09722895,38.87561,"",5774,"","",""
"1821","Kepler-157 c","Confirmed",13.5405,4.9e-05,4.9e-05,2014,"2014-03-06","Announced on a website","Primary Transit","","","","","Kepler-157",291.09722895,38.87561,"",5774,"","",""
"1822","Kepler-157 d","Confirmed",7.02573474,2.388e-05,2.388e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-157",291.09722895,38.87561,"",5774,"","",""
"1823","Kepler-1570 b","Confirmed",26.548955,0.0003047,0.0003047,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1570",299.861833,45.827354,"",5550,"","",""
"1824","Kepler-1571 b","Confirmed",3.38555488,1.595e-05,1.595e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1571",300.935406,45.596546,"",6297,"","",""
"1825","Kepler-1572 b","Confirmed",5.49548621,2.92e-05,2.92e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1572",281.897275,46.722633,"",5618,"","",""
"1826","Kepler-1573 b","Confirmed",2.6157554,1.498e-05,1.498e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1573",292.988348,49.48497,"",5808,"","",""
"1827","Kepler-1574 b","Confirmed",6.9424334,6.006e-05,6.006e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1574",292.158664,49.63776,"",5892,"","",""
"1828","Kepler-1575 b","Confirmed",2.55314213,1.304e-05,1.304e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1575",293.74325,45.761597,"",5667,"","",""
"1829","Kepler-1576 b","Confirmed",6.98471973,5.94e-05,5.94e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1576",289.073975,40.366015,"",5876,"","",""
"1830","Kepler-1577 b","Confirmed",6.30560247,3.666e-05,3.666e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1577",292.955275,47.573105,"",4862,"","",""
"1831","Kepler-1578 b","Confirmed",1.45088691,6.95e-06,6.95e-06,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1578",288.302,47.775555,"",5545,"","",""
"1832","Kepler-1579 b","Confirmed",0.84990789,2.93e-06,2.93e-06,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1579",293.288009,43.514988,"",4584,"","",""
"1833","Kepler-158 b","Confirmed",16.709184,6.4e-05,6.4e-05,2014,"2014-03-06","Announced on a website","Primary Transit","","","","","Kepler-158",284.03225715,39.781349,"",4623,"","",""
"1834","Kepler-158 c","Confirmed",28.551383,0.00014,0.00014,2014,"2014-03-06","Announced on a website","Primary Transit","","","","","Kepler-158",284.03225715,39.781349,"",4623,"","",""
"1835","Kepler-1580 b","Confirmed",56.6449279,0.0008525,0.0008525,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1580",285.968722,41.363559,"",6228,"","",""
"1836","Kepler-1581 b","Confirmed",6.28385491,4.246e-05,4.246e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1581",287.371261,39.603581,"",6022,"","",""
"1837","Kepler-1582 b","Confirmed",4.83817712,8.84e-05,8.84e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1582",289.37665,41.158613,"",3208,"","",""
"1838","Kepler-1583 b","Confirmed",9.32807355,8.851e-05,8.851e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1583",286.386934,47.016628,"",5645,"","",""
"1839","Kepler-1584 b","Confirmed",13.3997099,0.000157,0.000157,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1584",287.762683,43.274429,"",6069,"","",""
"1840","Kepler-1585 b","Confirmed",3.5827463,1.739e-05,1.739e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1585",296.159005,44.563114,"",5538,"","",""
"1841","Kepler-1586 b","Confirmed",15.6049212,0.0001365,0.0001365,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1586",298.202609,44.925827,"",6681,"","",""
"1842","Kepler-1587 b","Confirmed",9.4060467,0.0001376,0.0001376,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1587",292.677726,49.66391,"",5933,"","",""
"1843","Kepler-1588 b","Confirmed",7.84931739,9.456e-05,9.456e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1588",288.232715,48.002178,"",5817,"","",""
"1844","Kepler-1589 b","Confirmed",0.99166527,7.84e-06,7.84e-06,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1589",294.441792,40.571686,"",6166,"","",""
"1845","Kepler-159 b","Confirmed",10.139623,2.2e-05,2.2e-05,2014,"2014-03-06","Announced on a website","Primary Transit","","","","","Kepler-159",297.07015995,40.868786,"",4625,"","",""
"1846","Kepler-159 c","Confirmed",43.595792,0.000125,0.000125,2014,"2014-03-06","Announced on a website","Primary Transit","","","","","Kepler-159",297.07015995,40.868786,"",4625,"","",""
"1847","Kepler-1590 b","Confirmed",7.61760804,4.334e-05,4.334e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1590",291.407812,48.017891,"",6053,"","",""
"1848","Kepler-1591 b","Confirmed",8.18504949,7.831e-05,7.831e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1591",296.516659,44.608608,"",6082,"","",""
"1849","Kepler-1592 b","Confirmed",3.05710069,2.334e-05,2.334e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1592",293.850646,38.397749,"",6213,"","",""
"1850","Kepler-1593 b","Confirmed",174.509835,0.001852,0.001852,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1593",300.48818,44.46067,"",4995,"","",""
"1851","Kepler-1594 b","Confirmed",2.71603809,1.355e-05,1.355e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1594",293.62309,47.961914,"",5946,"","",""
"1852","Kepler-1595 b","Confirmed",4.56380468,3.24e-05,3.24e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1595",285.722721,43.00948,"",5203,"","",""
"1853","Kepler-1596 b","Confirmed",66.373379,0.001476,0.001476,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1596",285.557511,49.330074,"",5706,"","",""
"1854","Kepler-1597 b","Confirmed",2.94654179,3.471e-05,3.471e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1597",288.163973,42.481083,"",6377,"","",""
"1855","Kepler-1598 b","Confirmed",4.34195123,2.827e-05,2.827e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1598",288.469102,46.78368,"",5940,"","",""
"1856","Kepler-1599 b","Confirmed",122.363553,0.008968,0.008968,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1599",286.220889,41.151251,"",5767,"","",""
"1857","Kepler-16 (AB) b","Confirmed",228.776,0.037,0.037,2011,"2013-08-30","Published in a refereed paper","Primary Transit","","","","","Kepler-16 (AB)",289.075,51.7575,"K",4450,"","",""
"1858","Kepler-160 b","Confirmed",4.309427,1.7e-05,1.7e-05,2014,"2014-03-06","Announced on a website","Primary Transit","","","","","Kepler-160",287.77359015,42.869286,"",5857,"","",""
"1859","Kepler-160 c","Confirmed",13.699087,3.1e-05,3.1e-05,2014,"2014-03-06","Announced on a website","Primary Transit","","","","","Kepler-160",287.77359015,42.869286,"",5857,"","",""
"1860","Kepler-1600 b","Confirmed",386.370548,0.008591,0.008591,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1600",291.399384,38.787752,"",5214,"","",""
"1861","Kepler-1601 b","Confirmed",2.20921951,1.51e-05,1.51e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1601",285.512943,38.079748,"",5869,"","",""
"1862","Kepler-1602 b","Confirmed",11.17931605,7.504e-05,7.504e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1602",293.580858,40.427478,"",6296,"","",""
"1863","Kepler-1603 b","Confirmed",2.27163926,2.336e-05,2.336e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1603",295.329843,42.534966,"",6241,"","",""
"1864","Kepler-1604 b","Confirmed",0.68368426,6.3e-07,6.3e-07,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1604",285.410633,44.412212,"",4976,"","",""
"1865","Kepler-1605 b","Confirmed",85.7565495,0.0006161,0.0006161,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1605",287.134895,47.488621,"",5280,"","",""
"1866","Kepler-1606 b","Confirmed",196.435224,0.003935,0.003935,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1606",286.378264,43.07325,"",5422,"","",""
"1867","Kepler-1607 b","Confirmed",13.6473676,0.0002102,0.0002102,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1607",296.059869,42.656051,"",6116,"","",""
"1868","Kepler-1608 b","Confirmed",16.4735686,0.0001698,0.0001698,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1608",295.563558,39.417606,"",4992,"","",""
"1869","Kepler-1609 b","Confirmed",114.34219,0.004097,0.004097,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1609",290.146555,39.665821,"",6132,"","",""
"1870","Kepler-161 b","Confirmed",4.921355,6e-06,6e-06,2014,"2014-03-06","Announced on a website","Primary Transit","","","","","Kepler-161",290.5164795,43.083824,"",5078,"","",""
"1871","Kepler-161 c","Confirmed",7.06424,1.1e-05,1.1e-05,2014,"2014-03-06","Announced on a website","Primary Transit","","","","","Kepler-161",290.5164795,43.083824,"",5078,"","",""
"1872","Kepler-1610 b","Confirmed",8.70181574,8.315e-05,8.315e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1610",295.90501,45.405434,"",5383,"","",""
"1873","Kepler-1611 b","Confirmed",5.1762429,5.826e-05,5.826e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1611",296.512049,49.727764,"",5605,"","",""
"1874","Kepler-1612 b","Confirmed",3.91795101,2.727e-05,2.727e-05,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1612",291.250279,45.655075,"",5643,"","",""
"1875","Kepler-1613 b","Confirmed",1.5184299,0.0001991,0.0001991,2016,"2016-05-12","Announced on a website","Primary Transit","","","","","Kepler-1613",289.875041,43.420963,"",6005,"","",""
